datetime_beginning_utc,datetime_beginning_ept,fuel_type,mw,fuel_percentage_of_total,is_renewable
10/31/2022 10:00:00 AM,10/31/2022 6:00:00 AM,Multiple Fuels,154,0.000,False
10/31/2022 10:00:00 AM,10/31/2022 6:00:00 AM,Nuclear,26952,0.340,False
10/31/2022 10:00:00 AM,10/31/2022 6:00:00 AM,Oil,189,0.000,False
10/31/2022 10:00:00 AM,10/31/2022 6:00:00 AM,Other,115,0.000,False
10/31/2022 10:00:00 AM,10/31/2022 6:00:00 AM,Other Renewables,543,0.010,True
10/31/2022 10:00:00 AM,10/31/2022 6:00:00 AM,Solar,2,0.000,True
10/31/2022 10:00:00 AM,10/31/2022 6:00:00 AM,Storage,0,0.000,False
10/31/2022 10:00:00 AM,10/31/2022 6:00:00 AM,Wind,795,0.010,True
10/31/2022 9:00:00 AM,10/31/2022 5:00:00 AM,Coal,11362,0.150,False
10/31/2022 9:00:00 AM,10/31/2022 5:00:00 AM,Gas,33247,0.450,False
10/31/2022 9:00:00 AM,10/31/2022 5:00:00 AM,Hydro,342,0.000,True
10/31/2022 9:00:00 AM,10/31/2022 5:00:00 AM,Multiple Fuels,55,0.000,False
10/31/2022 9:00:00 AM,10/31/2022 5:00:00 AM,Nuclear,26853,0.360,False
10/31/2022 9:00:00 AM,10/31/2022 5:00:00 AM,Oil,183,0.000,False
10/31/2022 9:00:00 AM,10/31/2022 5:00:00 AM,Other,121,0.000,False
10/31/2022 9:00:00 AM,10/31/2022 5:00:00 AM,Other Renewables,545,0.010,True
10/31/2022 9:00:00 AM,10/31/2022 5:00:00 AM,Solar,2,0.000,True
10/31/2022 9:00:00 AM,10/31/2022 5:00:00 AM,Storage,0,0.000,False
10/31/2022 9:00:00 AM,10/31/2022 5:00:00 AM,Wind,951,0.010,True
10/31/2022 8:00:00 AM,10/31/2022 4:00:00 AM,Coal,11315,0.160,False
10/31/2022 8:00:00 AM,10/31/2022 4:00:00 AM,Gas,31952,0.440,False
10/31/2022 8:00:00 AM,10/31/2022 4:00:00 AM,Hydro,308,0.000,True
10/31/2022 8:00:00 AM,10/31/2022 4:00:00 AM,Multiple Fuels,2,0.000,False
10/31/2022 8:00:00 AM,10/31/2022 4:00:00 AM,Nuclear,26758,0.370,False
10/31/2022 8:00:00 AM,10/31/2022 4:00:00 AM,Oil,185,0.000,False
10/31/2022 8:00:00 AM,10/31/2022 4:00:00 AM,Other,122,0.000,False
10/31/2022 8:00:00 AM,10/31/2022 4:00:00 AM,Other Renewables,547,0.010,True
10/31/2022 8:00:00 AM,10/31/2022 4:00:00 AM,Solar,2,0.000,True
10/31/2022 8:00:00 AM,10/31/2022 4:00:00 AM,Storage,0,0.000,False
10/31/2022 8:00:00 AM,10/31/2022 4:00:00 AM,Wind,900,0.010,True
10/31/2022 7:00:00 AM,10/31/2022 3:00:00 AM,Coal,11401,0.160,False
10/31/2022 7:00:00 AM,10/31/2022 3:00:00 AM,Gas,30707,0.430,False
10/31/2022 7:00:00 AM,10/31/2022 3:00:00 AM,Hydro,273,0.000,True
10/31/2022 7:00:00 AM,10/31/2022 3:00:00 AM,Multiple Fuels,2,0.000,False
10/31/2022 7:00:00 AM,10/31/2022 3:00:00 AM,Nuclear,26761,0.380,False
10/31/2022 7:00:00 AM,10/31/2022 3:00:00 AM,Oil,175,0.000,False
10/31/2022 7:00:00 AM,10/31/2022 3:00:00 AM,Other,116,0.000,False
10/31/2022 7:00:00 AM,10/31/2022 3:00:00 AM,Other Renewables,538,0.010,True
10/31/2022 7:00:00 AM,10/31/2022 3:00:00 AM,Solar,2,0.000,True
10/31/2022 7:00:00 AM,10/31/2022 3:00:00 AM,Storage,0,0.000,False
10/31/2022 7:00:00 AM,10/31/2022 3:00:00 AM,Wind,901,0.010,True
10/31/2022 6:00:00 AM,10/31/2022 2:00:00 AM,Coal,11449,0.160,False
10/31/2022 6:00:00 AM,10/31/2022 2:00:00 AM,Gas,30191,0.430,False
10/31/2022 6:00:00 AM,10/31/2022 2:00:00 AM,Hydro,274,0.000,True
10/31/2022 6:00:00 AM,10/31/2022 2:00:00 AM,Multiple Fuels,2,0.000,False
10/31/2022 6:00:00 AM,10/31/2022 2:00:00 AM,Nuclear,26783,0.380,False
10/31/2022 6:00:00 AM,10/31/2022 2:00:00 AM,Oil,216,0.000,False
10/31/2022 6:00:00 AM,10/31/2022 2:00:00 AM,Other,118,0.000,False
10/31/2022 6:00:00 AM,10/31/2022 2:00:00 AM,Other Renewables,535,0.010,True
10/31/2022 6:00:00 AM,10/31/2022 2:00:00 AM,Solar,2,0.000,True
10/31/2022 6:00:00 AM,10/31/2022 2:00:00 AM,Storage,0,0.000,False
10/31/2022 6:00:00 AM,10/31/2022 2:00:00 AM,Wind,1053,0.010,True
10/31/2022 5:00:00 AM,10/31/2022 1:00:00 AM,Coal,11908,0.170,False
10/31/2022 5:00:00 AM,10/31/2022 1:00:00 AM,Gas,30669,0.430,False
10/31/2022 5:00:00 AM,10/31/2022 1:00:00 AM,Hydro,268,0.000,True
10/31/2022 5:00:00 AM,10/31/2022 1:00:00 AM,Multiple Fuels,2,0.000,False
10/31/2022 5:00:00 AM,10/31/2022 1:00:00 AM,Nuclear,26764,0.370,False
10/31/2022 5:00:00 AM,10/31/2022 1:00:00 AM,Oil,243,0.000,False
10/31/2022 5:00:00 AM,10/31/2022 1:00:00 AM,Other,122,0.000,False
10/31/2022 5:00:00 AM,10/31/2022 1:00:00 AM,Other Renewables,556,0.010,True
10/31/2022 5:00:00 AM,10/31/2022 1:00:00 AM,Solar,2,0.000,True
10/31/2022 5:00:00 AM,10/31/2022 1:00:00 AM,Storage,0,0.000,False
10/31/2022 5:00:00 AM,10/31/2022 1:00:00 AM,Wind,988,0.010,True
10/31/2022 4:00:00 AM,10/31/2022 12:00:00 AM,Coal,12132,0.170,False
10/31/2022 4:00:00 AM,10/31/2022 12:00:00 AM,Gas,30285,0.420,False
10/31/2022 4:00:00 AM,10/31/2022 12:00:00 AM,Hydro,266,0.000,True
10/31/2022 4:00:00 AM,10/31/2022 12:00:00 AM,Multiple Fuels,2,0.000,False
10/31/2022 4:00:00 AM,10/31/2022 12:00:00 AM,Nuclear,26968,0.380,False
10/31/2022 4:00:00 AM,10/31/2022 12:00:00 AM,Oil,239,0.000,False
10/31/2022 4:00:00 AM,10/31/2022 12:00:00 AM,Other,126,0.000,False
10/31/2022 4:00:00 AM,10/31/2022 12:00:00 AM,Other Renewables,556,0.010,True
10/31/2022 4:00:00 AM,10/31/2022 12:00:00 AM,Solar,2,0.000,True
10/31/2022 4:00:00 AM,10/31/2022 12:00:00 AM,Storage,0,0.000,False
10/31/2022 4:00:00 AM,10/31/2022 12:00:00 AM,Wind,1072,0.010,True
10/31/2022 3:00:00 AM,10/30/2022 11:00:00 PM,Coal,12760,0.170,False
10/31/2022 3:00:00 AM,10/30/2022 11:00:00 PM,Gas,33046,0.440,False
10/31/2022 3:00:00 AM,10/30/2022 11:00:00 PM,Hydro,262,0.000,True
10/31/2022 3:00:00 AM,10/30/2022 11:00:00 PM,Multiple Fuels,162,0.000,False
10/31/2022 3:00:00 AM,10/30/2022 11:00:00 PM,Nuclear,27220,0.360,False
10/31/2022 3:00:00 AM,10/30/2022 11:00:00 PM,Oil,237,0.000,False
10/31/2022 3:00:00 AM,10/30/2022 11:00:00 PM,Other,129,0.000,False
10/31/2022 3:00:00 AM,10/30/2022 11:00:00 PM,Other Renewables,540,0.010,True
10/31/2022 3:00:00 AM,10/30/2022 11:00:00 PM,Solar,2,0.000,True
10/31/2022 3:00:00 AM,10/30/2022 11:00:00 PM,Storage,0,0.000,False
10/31/2022 3:00:00 AM,10/30/2022 11:00:00 PM,Wind,1131,0.010,True
10/31/2022 2:00:00 AM,10/30/2022 10:00:00 PM,Coal,12714,0.170,False
10/31/2022 2:00:00 AM,10/30/2022 10:00:00 PM,Gas,33593,0.440,False
10/31/2022 2:00:00 AM,10/30/2022 10:00:00 PM,Hydro,251,0.000,True
10/31/2022 2:00:00 AM,10/30/2022 10:00:00 PM,Multiple Fuels,162,0.000,False
10/31/2022 2:00:00 AM,10/30/2022 10:00:00 PM,Nuclear,27391,0.360,False
10/31/2022 2:00:00 AM,10/30/2022 10:00:00 PM,Oil,223,0.000,False
10/31/2022 2:00:00 AM,10/30/2022 10:00:00 PM,Other,133,0.000,False
10/31/2022 2:00:00 AM,10/30/2022 10:00:00 PM,Other Renewables,537,0.010,True
10/31/2022 2:00:00 AM,10/30/2022 10:00:00 PM,Solar,2,0.000,True
10/31/2022 2:00:00 AM,10/30/2022 10:00:00 PM,Storage,0,0.000,False
10/31/2022 2:00:00 AM,10/30/2022 10:00:00 PM,Wind,1412,0.020,True
10/31/2022 1:00:00 AM,10/30/2022 9:00:00 PM,Coal,12951,0.160,False
10/31/2022 1:00:00 AM,10/30/2022 9:00:00 PM,Gas,34993,0.440,False
10/31/2022 1:00:00 AM,10/30/2022 9:00:00 PM,Hydro,1248,0.020,True
10/31/2022 1:00:00 AM,10/30/2022 9:00:00 PM,Multiple Fuels,220,0.000,False
10/31/2022 1:00:00 AM,10/30/2022 9:00:00 PM,Nuclear,27834,0.350,False
10/31/2022 1:00:00 AM,10/30/2022 9:00:00 PM,Oil,207,0.000,False
10/31/2022 1:00:00 AM,10/30/2022 9:00:00 PM,Other,132,0.000,False
10/31/2022 1:00:00 AM,10/30/2022 9:00:00 PM,Other Renewables,531,0.010,True
10/31/2022 1:00:00 AM,10/30/2022 9:00:00 PM,Solar,2,0.000,True
10/31/2022 1:00:00 AM,10/30/2022 9:00:00 PM,Storage,0,0.000,False
10/31/2022 1:00:00 AM,10/30/2022 9:00:00 PM,Wind,1372,0.020,True
10/31/2022 12:00:00 AM,10/30/2022 8:00:00 PM,Coal,13235,0.160,False
10/31/2022 12:00:00 AM,10/30/2022 8:00:00 PM,Gas,36666,0.440,False
10/31/2022 12:00:00 AM,10/30/2022 8:00:00 PM,Hydro,2315,0.030,True
10/31/2022 12:00:00 AM,10/30/2022 8:00:00 PM,Multiple Fuels,408,0.000,False
10/31/2022 12:00:00 AM,10/30/2022 8:00:00 PM,Nuclear,28056,0.340,False
10/31/2022 12:00:00 AM,10/30/2022 8:00:00 PM,Oil,201,0.000,False
